Feature name	Importance
O_1	0.0
U_1	0.0
Y_2	0.0
nO	0.0
U_2	0.0
nU	0.0
O-linked Glycosylation	1.3093383376385874e-06
Methylation	1.4045569523385222e-06
N-linked Glycosylation	2.97987438468662e-06
Glutathionylation	7.732087294594637e-06
TMhelix	1.359069521359695e-05
nY	1.5656140086825268e-05
Malonylation	2.066950821490739e-05
Sumoylation	2.4743179793669234e-05
Phosphorylation	3.320945443523698e-05
Ubiquitination	0.00011486013997489532
Acetylation	0.00011916198321643867
Immunoglobulin V-set domain	0.0001439196359591774
Immunoglobulin C1-set	0.00023150660549330377
Y_1	0.000540433430482898
W_2	0.0005670165222673676
ComplexFormation	0.000574268183405896
EGF-like domain	0.0005981668802804511
F_1	0.0006092088537897119
V_2	0.00068351644646978
W_1	0.0007904060735266733
H_1	0.0009011070067254216
E_2	0.0009114477053116313
M_2	0.0009189545468239039
T-phos	0.0009241169637683052
D_2	0.0009390957034415407
G_2	0.0009554336256653439
T-adjacent	0.000994217910894155
C_2	0.0010122086849145083
A_2	0.0010618433596682427
labels	0.0010771609682029475
C_1	0.0010772945372492693
I_2	0.001079530926695523
L_2	0.0011128699837878592
P_2	0.0011363772966608166
T_1	0.0011386330343000817
N_1	0.0011639364588422925
A_1	0.001170050813986634
D_1	0.0012114935270609289
S_2	0.001213582096072798
I_1	0.0012173605453068323
R_2	0.0012314302162879285
K_1	0.0012589477851136738
H_2	0.0013461952404654565
M_1	0.0013482190714626957
LGO-score	0.001354553723928034
S_1	0.001358686143135961
E_1	0.0013829865637892222
K_2	0.0014143335921436725
Q_1	0.0014172988984058467
L_1	0.0014338283943762656
N_2	0.0014527326556514552
V_1	0.0014957406445969522
Krueppel-associated box	0.0014997060740014434
PANTHER-PSEP_2	0.0015166674181376994
GPCR, rhodopsin-like, 7TM	0.001523108165164977
S-adjacent	0.0016063125073473511
T_2	0.001618394824913813
Zinc finger C2H2-type	0.001639202807585514
P_1	0.0016821383389101407
ISOGlyP	0.0017534010486445557
S-phos	0.0017744123884106055
F_2	0.0018530554621592526
G_1	0.0018851436967940816
PANTHER-Age	0.0019035713425715928
R_1	0.0020772093389627285
Q_2	0.0021654984171575317
Immunoglobulin subtype 2	0.0021688010185004387
nV	0.0021875132350409727
Fibronectin type III	0.0022637469553102012
Y-phos	0.0025039725077863296
nL	0.003056037175009318
Q(sasa)	0.0034198784141558224
nA	0.0037263812124617894
nG	0.0038874126174364017
Protein kinase domain	0.004332344492771215
nM	0.004333987445640342
nE	0.004441021680014914
MXXpdb	0.004444400067896418
nP	0.004797751825249045
nS	0.004856408889461201
nI	0.004916279214086421
nW	0.005041937214721022
DNAbinding	0.00509980051600902
nC	0.005139251160553093
nQ	0.005300064445450548
nH	0.005487098950216102
Y-adjacent	0.005662079694632826
nD	0.005777565212412697
nT	0.005922310343406403
nN	0.0064414293389448785
nK	0.006481414724169351
nR	0.00748847811715403
nF	0.008038957613060034
Immunoglobulin I-set	0.008280119761442151
Non-Freq-PTM	0.009968469337098813
mut-short-disorder	0.011213865947515363
short-disorder	0.011262114835432931
PANTHER-PSEP_1	0.012050726104814731
struct_interactions	0.012228710644658043
XXWpdb	0.0125206312142877
XXWUniref90	0.012651743319857595
nX	0.01268495950432066
XWXpdb	0.01268859779110336
XWXUniref90	0.012714453642510701
MXXUniref90	0.012878717031152105
XXMpdb	0.012941913887311716
WXXpdb	0.013004952950417073
XXMUniref90	0.013251335718846628
XMXpdb	0.01329272128705795
WXXUniref90	0.01352402214192305
XMXUniref90	0.0138289048792722
DNAbindingMut	0.016042953556119587
mut-long-disorder	0.019618564767802528
glob-domain	0.020137416087920874
deltaG	0.023507317934033527
long-disorder	0.023745754492772064
Signal	0.024175471310025117
PFscore	0.026726240200787902
essentials	0.08481500582517201
mut-glob-domain	0.09042182356793767
Non-Freq-Domain	0.11206342910987556
domains	0.14323948902190173
