NP_000006.2		P11245	ARY2_HUMAN	reviewed	Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2) (Polymorphic arylamine N-acetyltransferase) (PNAT)	NAT2 AAC2	Homo sapiens (Human)	290
NP_000006.2		A4Z6T7	A4Z6T7_HUMAN	unreviewed	Arylamine N-acetyltransferase (EC 2.3.1.5)	NAT2	Homo sapiens (Human)	290
NP_000008.1		E5KSD5	E5KSD5_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain (Mitochondrial short-chain specific acyl-CoA dehydrogenase)	ACADS hCG_27359	Homo sapiens (Human)	412
NP_000010.1	NP_000010.1 -> P24752-1	P24752	THIL_HUMAN	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	Homo sapiens (Human)	427
NP_000010.1		A0A140VJX1	A0A140VJX1_HUMAN	unreviewed	Testicular tissue protein Li 198		Homo sapiens (Human)	427
NP_000013.2		P00813	ADA_HUMAN	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA ADA1	Homo sapiens (Human)	363
NP_000013.2		A0A0S2Z381	A0A0S2Z381_HUMAN	unreviewed	Adenosine aminohydrolase (EC 3.5.4.4) (Adenosine deaminase) (Fragment)	ADA hCG_38105	Homo sapiens (Human)	363
NP_000016.1		P13945	ADRB3_HUMAN	reviewed	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	ADRB3 ADRB3R B3AR	Homo sapiens (Human)	408
NP_000016.1		A8KAG8	A8KAG8_HUMAN	unreviewed	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor)	ADRB3 hCG_21141	Homo sapiens (Human)	408
NP_000017.1		X5D8S6	X5D8S6_HUMAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (Fragment)	ADSL hCG_40060	Homo sapiens (Human)	484
